"vendor","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"olhausen","Townhouse","https://www.olhausenbilliards.com/shop?productId=cm87qonga00i6pgzkiwg5wxe3","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/0618-Townhouse-e1718729358179-1536x858-iOQMXGO5YHxn3dcBUcMlODNG8V5a0s.png","olhausen/originals/townhouse.png","olhausen/normalized-1600x1000/townhouse.png"
"olhausen","Tustin","https://www.olhausenbilliards.com/shop?productId=cm87qr0bm00papgzkvaysj607","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Tustin_pooltable-Q6xxwMNVqgw6MFp9AvTdpwjdRUR5z9.png","olhausen/originals/tustin.png","olhausen/normalized-1600x1000/tustin.png"
"olhausen","Venetian","https://www.olhausenbilliards.com/shop?productId=cm87qsdwy00uwpgzkqv796sx0","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/venetian_mbl_pooltable-wp6BGuNGZwnzK7p0o9jcrtyNy2P4ZX.png","olhausen/originals/venetian.png","olhausen/normalized-1600x1000/venetian.png"
"olhausen","Waterfall","https://www.olhausenbilliards.com/shop?productId=cm87qos4g00ihpgzk97ra7c9m","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/waterfall_pooltable-fvLSb7tH5SSfBP1yhLhxuO5F1I0RGt.png","olhausen/originals/waterfall.png","olhausen/normalized-1600x1000/waterfall.png"
"olhausen","West End","https://www.olhausenbilliards.com/shop?productId=cm87qpdov00k6pgzkqpvqij8z","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/west%20end_pooltable-5uSvkPuRJDxgfWpXCJKLJvf8Nj69kJ.png","olhausen/originals/west-end.png","olhausen/normalized-1600x1000/west-end.png"
"olhausen","York","https://www.olhausenbilliards.com/shop?productId=cm87qpt5z00llpgzk2voxtbh7","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/york_pooltable-BBzmd7KLXm1jBfCrbisRgoyt7JGGaf.png","olhausen/originals/york.png","olhausen/normalized-1600x1000/york.png"
"olhausen","Youngstown","https://www.olhausenbilliards.com/shop?productId=cm87qr5wo00pypgzky12cbwyy","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/youngstown_pooltable-oySsYiLrvCB0HNpGQ73W7NCBZu13EZ.png","olhausen/originals/youngstown.png","olhausen/normalized-1600x1000/youngstown.png"
"canada-billiard","Aristocrat","https://fgbradleys.com/canada-billiard/#aristocrat","https://fgbradleys.com/wp-content/uploads/Aristocrat_XLthumbnail.jpg","canada-billiard/originals/aristocrat.jpg","canada-billiard/normalized-1600x1000/aristocrat.png"
"canada-billiard","banff","https://fgbradleys.com/canada-billiard/#banff","https://fgbradleys.com/wp-content/uploads/banff_XLthumbnail.jpg","canada-billiard/originals/banff.jpg","canada-billiard/normalized-1600x1000/banff.png"
"canada-billiard","Barn","https://fgbradleys.com/canada-billiard/#barn","https://fgbradleys.com/wp-content/uploads/Barn_XLthumbnail.jpg","canada-billiard/originals/barn.jpg","canada-billiard/normalized-1600x1000/barn.png"
"canada-billiard","Black Crown","https://fgbradleys.com/canada-billiard/#black-crown","https://fgbradleys.com/wp-content/uploads/BlackCrown_XLthumbnail.jpg","canada-billiard/originals/black-crown.jpg","canada-billiard/normalized-1600x1000/black-crown.png"
"canada-billiard","Boulevard","https://fgbradleys.com/canada-billiard/#boulevard","https://fgbradleys.com/wp-content/uploads/Boulevard_XLthumbnail.jpg","canada-billiard/originals/boulevard.jpg","canada-billiard/normalized-1600x1000/boulevard.png"
"canada-billiard","Bridge","https://fgbradleys.com/canada-billiard/#bridge","https://fgbradleys.com/wp-content/uploads/Bridge_XLthumbnail.jpg","canada-billiard/originals/bridge.jpg","canada-billiard/normalized-1600x1000/bridge.png"
"canada-billiard","Canadiana","https://fgbradleys.com/canada-billiard/#canadiana","https://fgbradleys.com/wp-content/uploads/Canadiana_XLthumbnail.jpg","canada-billiard/originals/canadiana.jpg","canada-billiard/normalized-1600x1000/canadiana.png"
"canada-billiard","Canyon","https://fgbradleys.com/canada-billiard/#canyon","https://fgbradleys.com/wp-content/uploads/Canyon_XLthumbnail.jpg","canada-billiard/originals/canyon.jpg","canada-billiard/normalized-1600x1000/canyon.png"
"canada-billiard","cloud","https://fgbradleys.com/canada-billiard/#cloud","https://fgbradleys.com/wp-content/uploads/cloud_XLthumbnail.jpg","canada-billiard/originals/cloud.jpg","canada-billiard/normalized-1600x1000/cloud.png"
"canada-billiard","colonial","https://fgbradleys.com/canada-billiard/#colonial","https://fgbradleys.com/wp-content/uploads/colonial_XLthumbnail.jpg","canada-billiard/originals/colonial.jpg","canada-billiard/normalized-1600x1000/colonial.png"
"canada-billiard","divine","https://fgbradleys.com/canada-billiard/#divine","https://fgbradleys.com/wp-content/uploads/divine_XLthumbnail.jpg","canada-billiard/originals/divine.jpg","canada-billiard/normalized-1600x1000/divine.png"
"canada-billiard","dream","https://fgbradleys.com/canada-billiard/#dream","https://fgbradleys.com/wp-content/uploads/dream_XLthumbnail.jpg","canada-billiard/originals/dream.jpg","canada-billiard/normalized-1600x1000/dream.png"
"canada-billiard","Duchess","https://fgbradleys.com/canada-billiard/#duchess","https://fgbradleys.com/wp-content/uploads/Duchess_XLthumbnail.jpg","canada-billiard/originals/duchess.jpg","canada-billiard/normalized-1600x1000/duchess.png"
"canada-billiard","Elegance","https://fgbradleys.com/canada-billiard/#elegance","https://fgbradleys.com/wp-content/uploads/Elegance_XLthumbnail.jpg","canada-billiard/originals/elegance.jpg","canada-billiard/normalized-1600x1000/elegance.png"
"canada-billiard","euro","https://fgbradleys.com/canada-billiard/#euro","https://fgbradleys.com/wp-content/uploads/euro_XLthumbnail.jpg","canada-billiard/originals/euro.jpg","canada-billiard/normalized-1600x1000/euro.png"
"canada-billiard","Evolution","https://fgbradleys.com/canada-billiard/#evolution","https://fgbradleys.com/wp-content/uploads/Evolution_XLthumbnail.jpg","canada-billiard/originals/evolution.jpg","canada-billiard/normalized-1600x1000/evolution.png"
"canada-billiard","heritage","https://fgbradleys.com/canada-billiard/#heritage","https://fgbradleys.com/wp-content/uploads/heritage_XLthumbnail.jpg","canada-billiard/originals/heritage.jpg","canada-billiard/normalized-1600x1000/heritage.png"
"canada-billiard","Ideal","https://fgbradleys.com/canada-billiard/#ideal","https://fgbradleys.com/wp-content/uploads/Ideal-thumbnailXL.jpg","canada-billiard/originals/ideal.jpg","canada-billiard/normalized-1600x1000/ideal.png"
"canada-billiard","Industria","https://fgbradleys.com/canada-billiard/#industria","https://fgbradleys.com/wp-content/uploads/Industria_XLthumbnail.jpg","canada-billiard/originals/industria.jpg","canada-billiard/normalized-1600x1000/industria.png"
"canada-billiard","invitation","https://fgbradleys.com/canada-billiard/#invitation","https://fgbradleys.com/wp-content/uploads/invitation_XLthumbnail.jpg","canada-billiard/originals/invitation.jpg","canada-billiard/normalized-1600x1000/invitation.png"
"canada-billiard","La Condo","https://fgbradleys.com/canada-billiard/#la-condo","https://fgbradleys.com/wp-content/uploads/LaCondo_XLthumbnail.jpg","canada-billiard/originals/la-condo.jpg","canada-billiard/normalized-1600x1000/la-condo.png"
"canada-billiard","La Condo Stainless","https://fgbradleys.com/canada-billiard/#la-condo-stainless","https://fgbradleys.com/wp-content/uploads/LaCondoStainless_XLthumbnail.jpg","canada-billiard/originals/la-condo-stainless.jpg","canada-billiard/normalized-1600x1000/la-condo-stainless.png"
"canada-billiard","Lacondo Duo","https://fgbradleys.com/canada-billiard/#lacondo-duo","https://fgbradleys.com/wp-content/uploads/LacondoDuo_XLthumbnail.jpg","canada-billiard/originals/lacondo-duo.jpg","canada-billiard/normalized-1600x1000/lacondo-duo.png"
"canada-billiard","laforge","https://fgbradleys.com/canada-billiard/#laforge","https://fgbradleys.com/wp-content/uploads/laforge_XLthumbnail.jpg","canada-billiard/originals/laforge.jpg","canada-billiard/normalized-1600x1000/laforge.png"
"canada-billiard","Loft","https://fgbradleys.com/canada-billiard/#loft","https://fgbradleys.com/wp-content/uploads/Loft_XLthumbnail.jpg","canada-billiard/originals/loft.jpg","canada-billiard/normalized-1600x1000/loft.png"
"canada-billiard","lotus","https://fgbradleys.com/canada-billiard/#lotus","https://fgbradleys.com/wp-content/uploads/lotus_XLthumbnail.jpg","canada-billiard/originals/lotus.jpg","canada-billiard/normalized-1600x1000/lotus.png"
"canada-billiard","lounge","https://fgbradleys.com/canada-billiard/#lounge","https://fgbradleys.com/wp-content/uploads/lounge_XLthumbnail.jpg","canada-billiard/originals/lounge.jpg","canada-billiard/normalized-1600x1000/lounge.png"
"canada-billiard","Luxx","https://fgbradleys.com/canada-billiard/#luxx","https://fgbradleys.com/wp-content/uploads/Luxx_XLthumbnail.jpg","canada-billiard/originals/luxx.jpg","canada-billiard/normalized-1600x1000/luxx.png"
"canada-billiard","Majesty","https://fgbradleys.com/canada-billiard/#majesty","https://fgbradleys.com/wp-content/uploads/Majesty_XLthumbnail.jpg","canada-billiard/originals/majesty.jpg","canada-billiard/normalized-1600x1000/majesty.png"
"canada-billiard","Maze","https://fgbradleys.com/canada-billiard/#maze","https://fgbradleys.com/wp-content/uploads/Maze_XLthumbnail.jpg","canada-billiard/originals/maze.jpg","canada-billiard/normalized-1600x1000/maze.png"
"canada-billiard","monarch","https://fgbradleys.com/canada-billiard/#monarch","https://fgbradleys.com/wp-content/uploads/monarch_XLthumbnail.jpg","canada-billiard/originals/monarch.jpg","canada-billiard/normalized-1600x1000/monarch.png"
"canada-billiard","mystere","https://fgbradleys.com/canada-billiard/#mystere","https://fgbradleys.com/wp-content/uploads/mystere_XLthumbnail.jpg","canada-billiard/originals/mystere.jpg","canada-billiard/normalized-1600x1000/mystere.png"
"canada-billiard","Obsession","https://fgbradleys.com/canada-billiard/#obsession","https://fgbradleys.com/wp-content/uploads/Obsession_XLthumbnail.jpg","canada-billiard/originals/obsession.jpg","canada-billiard/normalized-1600x1000/obsession.png"
"canada-billiard","Onyx","https://fgbradleys.com/canada-billiard/#onyx","https://fgbradleys.com/wp-content/uploads/Onyx_XLthumbnail.jpg","canada-billiard/originals/onyx.jpg","canada-billiard/normalized-1600x1000/onyx.png"
"canada-billiard","Orlando","https://fgbradleys.com/canada-billiard/#orlando","https://fgbradleys.com/wp-content/uploads/Orlando_XLthumbnail.jpg","canada-billiard/originals/orlando.jpg","canada-billiard/normalized-1600x1000/orlando.png"
"canada-billiard","pacific","https://fgbradleys.com/canada-billiard/#pacific","https://fgbradleys.com/wp-content/uploads/pacific_XLthumbnail.jpg","canada-billiard/originals/pacific.jpg","canada-billiard/normalized-1600x1000/pacific.png"
"canada-billiard","prestige","https://fgbradleys.com/canada-billiard/#prestige","https://fgbradleys.com/wp-content/uploads/prestige_XLthumbnail.jpg","canada-billiard/originals/prestige.jpg","canada-billiard/normalized-1600x1000/prestige.png"
"canada-billiard","Queen Ann II","https://fgbradleys.com/canada-billiard/#queen-ann-ii","https://fgbradleys.com/wp-content/uploads/QueenAnnII_XLthumbnail.jpg","canada-billiard/originals/queen-ann-ii.jpg","canada-billiard/normalized-1600x1000/queen-ann-ii.png"
"canada-billiard","Ranch","https://fgbradleys.com/canada-billiard/#ranch","https://fgbradleys.com/wp-content/uploads/Ranch_XLthumbnail.jpg","canada-billiard/originals/ranch.jpg","canada-billiard/normalized-1600x1000/ranch.png"
"canada-billiard","Rebel Snooker","https://fgbradleys.com/canada-billiard/#rebel-snooker","https://fgbradleys.com/wp-content/uploads/RebelSnooker_XLthumbnail.jpg","canada-billiard/originals/rebel-snooker.jpg","canada-billiard/normalized-1600x1000/rebel-snooker.png"
"canada-billiard","Regance","https://fgbradleys.com/canada-billiard/#regance","https://fgbradleys.com/wp-content/uploads/Regance_XLthumbnail.jpg","canada-billiard/originals/regance.jpg","canada-billiard/normalized-1600x1000/regance.png"
"canada-billiard","Revolution","https://fgbradleys.com/canada-billiard/#revolution","https://fgbradleys.com/wp-content/uploads/Revolution_XLthumbnail.jpg","canada-billiard/originals/revolution.jpg","canada-billiard/normalized-1600x1000/revolution.png"
"canada-billiard","Shack","https://fgbradleys.com/canada-billiard/#shack","https://fgbradleys.com/wp-content/uploads/Shack_XLthumbnail.jpg","canada-billiard/originals/shack.jpg","canada-billiard/normalized-1600x1000/shack.png"
"canada-billiard","Special Anniversary","https://fgbradleys.com/canada-billiard/#special-anniversary","https://fgbradleys.com/wp-content/uploads/SpecialAnniversary_XLthumbnail.jpg","canada-billiard/originals/special-anniversary.jpg","canada-billiard/normalized-1600x1000/special-anniversary.png"
"canada-billiard","Storm","https://fgbradleys.com/canada-billiard/#storm","https://fgbradleys.com/wp-content/uploads/Storm_XLthumbnail.jpg","canada-billiard/originals/storm.jpg","canada-billiard/normalized-1600x1000/storm.png"
"canada-billiard","supreme","https://fgbradleys.com/canada-billiard/#supreme","https://fgbradleys.com/wp-content/uploads/supreme_XLthumbnail.jpg","canada-billiard/originals/supreme.jpg","canada-billiard/normalized-1600x1000/supreme.png"
"canada-billiard","tendance","https://fgbradleys.com/canada-billiard/#tendance","https://fgbradleys.com/wp-content/uploads/tendance_XLthumbnail.jpg","canada-billiard/originals/tendance.jpg","canada-billiard/normalized-1600x1000/tendance.png"
"canada-billiard","tentation","https://fgbradleys.com/canada-billiard/#tentation","https://fgbradleys.com/wp-content/uploads/tentation_XLthumbnail.jpg","canada-billiard/originals/tentation.jpg","canada-billiard/normalized-1600x1000/tentation.png"
"canada-billiard","Touch","https://fgbradleys.com/canada-billiard/#touch","https://fgbradleys.com/wp-content/uploads/Touch_XLthumbnail.jpg","canada-billiard/originals/touch.jpg","canada-billiard/normalized-1600x1000/touch.png"
"canada-billiard","Track","https://fgbradleys.com/canada-billiard/#track","https://fgbradleys.com/wp-content/uploads/Track_XLthumbnail.jpg","canada-billiard/originals/track.jpg","canada-billiard/normalized-1600x1000/track.png"
"canada-billiard","venus","https://fgbradleys.com/canada-billiard/#venus","https://fgbradleys.com/wp-content/uploads/venus_XLthumbnail.jpg","canada-billiard/originals/venus.jpg","canada-billiard/normalized-1600x1000/venus.png"
"canada-billiard","Xtreme","https://fgbradleys.com/canada-billiard/#xtreme","https://fgbradleys.com/wp-content/uploads/Xtreme_XLthumbnail.jpg","canada-billiard/originals/xtreme.jpg","canada-billiard/normalized-1600x1000/xtreme.png"
